x,y,category,noise
657.0748069556879,456.276988920757,-1,0
704.8170994782936,981.6243290688553,1,1
425.9542014059359,425.9593931619801,-1,0
999.3909407130633,742.6841699637614,1,1
351.53916373366326,671.5725505131878,-1,0
353.45445826923776,352.7233204609052,-1,0
576.5151885976865,-105.0323375322846,1,1
-45.46691273820261,322.1890707689997,-1,0
179.71467746431398,599.3737319633537,-1,0
212.8575751084229,53.39035558942925,-1,0
963.4788359613917,428.60326487759653,1,1
521.3542933115899,49.4550639371767,-1,0
327.8510671652418,535.0768027447532,-1,0
136.02387231201675,618.8061450384048,-1,0
310.061368903696,407.7583371417976,1,1
309.723662217138,1085.7417923289859,1,1
495.73180277369596,165.52243584468124,-1,0
760.1115400029078,113.93533991382117,-1,0
566.0484680505994,-119.70210540444157,1,1
79.99069290211861,562.2529888342067,-1,0
733.5236368700432,554.1914087268497,-1,0
463.42880201668225,404.7826510043852,-1,0
32.45029397933962,272.3652740991821,-1,0
354.33323051864454,834.2914000039541,-1,0
608.6616440727615,-57.522249728336305,-1,0
602.4843496435853,378.22629073127865,-1,0
285.93846807559737,693.4290263456178,1,1
826.0306757633213,794.4966316040102,-1,0
234.61611742912118,402.21846115981157,-1,0
604.7546948758211,808.4944561985158,-1,0
348.47180123336295,441.28947656862886,-1,0
150.14616270377718,121.72625157242601,-1,0
756.9432256467113,928.8807544175638,1,1
477.2284001220501,817.3449664247984,-1,0
614.3593523120226,295.9952211878908,-1,0
614.2833249782282,986.3698674657414,-1,0
488.67081168702816,994.7837678904815,-1,0
-328.43614179984854,759.9083928422215,-1,0
527.5266999272721,405.445573539565,1,1
529.0173053717922,-128.52447766875173,-1,0
430.5336496524422,612.9289107056878,1,1
967.3511321781984,336.1085666822655,-1,0
244.33187411818275,341.3304910240488,-1,0
789.4755666880094,603.9602289832385,-1,0
332.47511423812443,662.3094137426334,-1,0
530.6986165607202,806.3124414196168,-1,0
277.99131849795543,396.38413137310613,1,1
376.0045146980296,37.19593741993168,-1,0
593.641453688418,582.552925528364,-1,0
501.61701697066934,425.81703487648326,-1,0
52.42047215580328,366.98026929647875,-1,0
391.624154057199,246.2976514279582,1,1
448.9969797094221,627.7720998076508,-1,0
1096.464353832262,555.2063517479181,1,1
581.4445846950235,476.45813436818725,-1,0
-106.76873491142908,491.6155763982455,-1,0
519.0464647363759,1278.9455503898187,1,1
439.170121838422,595.3576424144729,-1,0
489.02317461161994,130.43155497063327,1,1
861.3923055871601,737.7821031208045,-1,0
750.1462654613724,212.4264367265215,-1,0
943.6025111284522,56.695770124866954,1,1
685.5805077435934,1192.6828891089044,-1,0
186.76491074539416,320.92093406730805,1,1
531.5125285621931,340.7870186549681,1,1
9.637167349951824,521.6815163543788,-1,0
164.0700697770033,649.7630763422478,-1,0
209.2525283865025,990.1322943713335,1,1
252.31356113917843,398.15520621028355,-1,0
757.256732265045,110.76652694424803,-1,0
571.9291469781999,913.3548330518288,-1,0
-8.330832174817715,558.3863526147395,-1,0
582.1821554513925,747.2341001630076,-1,0
108.84184002608453,82.43495512219914,-1,0
665.0524152863624,593.914799757771,-1,0
579.2127944680667,609.5565433297621,-1,0
284.95730145901166,573.4450678023754,-1,0
592.6776535122714,274.10224692656135,-1,0
1090.0097055504643,649.8391260451676,1,1
123.27675643156005,707.6204809285693,-1,0
191.77859284645376,748.8980059077237,-1,0
866.3800916664964,240.47746385811917,-1,0
804.6462811848804,630.5327903794885,-1,0
759.9582479265019,1099.8186075010726,-1,0
422.4014642693316,261.64769657913087,1,1
218.71083907977896,242.01813609181949,1,1
475.6182986758984,607.8817268684999,-1,0
587.4973133495452,761.5783109292115,-1,0
504.111559222543,959.6478340488045,-1,0
416.3081608640703,1360.1930187385192,-1,0
697.8533876534079,228.94298081002722,-1,0
161.3540576939435,652.5711740371007,-1,0
429.33486260850594,725.7867811816608,-1,0
649.6508768140071,476.9694756490817,1,1
232.22031425813617,20.963246280782016,-1,0
358.79957421473046,770.8170775484251,-1,0
567.7023864244749,106.06280896736399,1,1
554.764617298647,621.8480541991117,-1,0
220.49973747274584,548.6121468338561,-1,0
518.4072129968816,138.5610560934221,-1,0
613.142297671999,677.3356379902373,-1,0
842.490875111077,833.241468738957,-1,0
64.3426934611,203.43368271298885,1,1
662.8684519692797,662.4733834678045,-1,0
662.8723792327027,1718.3406723524645,-1,0
680.5314308367119,859.0973855597913,1,1
801.6818464455791,705.9880002033452,-1,0
400.30311107356755,740.0071410721268,-1,0
255.61120888530016,425.1113810393869,-1,0
346.5145695639959,525.890876192688,-1,0
1231.9593076308997,-90.48110041428913,1,1
717.0145269084223,-9.985537166202164,-1,0
350.76204036924923,844.3564145816922,-1,0
520.3271268380779,159.18717653910238,-1,0
273.8011059971625,714.9076779356844,1,1
269.03779167884727,568.4502162186635,-1,0
514.41108112606,293.9458777408174,-1,0
1177.9746498323518,700.4627962632028,-1,0
-140.40631604429575,558.9620314237364,1,1
290.72474466611186,769.5630891408932,-1,0
249.3829373634123,463.71715143420084,-1,0
659.6909990989117,773.7758309698913,-1,0
120.43294863871472,394.22142146014545,-1,0
349.80910527139883,293.39915630971996,-1,0
1058.285650409045,628.0664617348598,-1,0
101.27348391415194,790.253433028997,1,1
1171.0847133200937,826.4941828340817,-1,0
19.5330299132832,346.87174090827057,-1,0
900.6324824491106,276.21526580904344,-1,0
640.3480262775523,744.9607961965271,1,1
206.87884771992873,481.1764296312201,1,1
-524.9787300133814,176.0601846455997,-1,0
420.1309377179384,105.41631189387402,-1,0
1016.2137798629345,47.74958695926682,-1,0
360.8457150237866,541.3438006829324,1,1
955.7706324211181,45.94051962439465,-1,0
867.8246748557258,503.235978025738,-1,0
189.6197119529063,646.1299493348935,1,1
562.9482028351903,310.1947578104715,1,1
522.0733573997111,378.15314204849307,-1,0
535.8973364929643,709.3841040150127,-1,0
1001.5425546347826,108.56837006496761,-1,0
1174.5243789069082,-117.30436391172577,-1,0
452.001338482244,686.0422359158845,-1,0
588.8574306027482,303.0851219473759,1,1
434.1859657111218,344.0994157886242,-1,0
313.6264995424753,768.6677731441794,-1,0
612.8982095601427,280.8827466390919,-1,0
784.4784589172825,597.1766409848549,-1,0
757.0495719201579,699.1061221012727,-1,0
237.84875965700888,322.8552010935238,-1,0
736.3149873067981,693.016025481129,-1,0
493.3903356345264,537.1021763163374,-1,0
904.0331157133097,312.9287012689673,-1,0
673.0073826410636,436.0610692158107,1,1
431.16315939959884,847.463749254923,1,1
761.0195680742594,757.2543348256529,-1,0
912.8286467687399,506.64199791729885,-1,0
715.6524646411513,401.8850366931614,1,1
602.5104014652469,458.84515265469923,-1,0
530.6728173222947,688.2051765831416,1,1
241.25590123230813,1161.6709538320706,-1,0
181.86937087424025,116.03984745505198,-1,0
866.2268143267353,750.3457251507709,-1,0
697.3640154732407,698.7002966813556,-1,0
496.1272303817045,216.26325455619343,-1,0
523.9715060914955,285.8626647363864,1,1
808.35993489763,453.49637277129284,-1,0
238.954865605142,398.36887326463267,-1,0
630.5803913036648,321.7346440179581,-1,0
239.99108113654654,577.0606624969602,-1,0
577.4652315305162,339.69049215490554,1,1
351.04460890596124,573.3806332949525,-1,0
42.07552368433733,54.92087487927506,-1,0
272.8079889056353,432.50208405150545,-1,0
598.3176049067905,966.5486005650101,-1,0
771.2157866480176,449.42299596964835,-1,0
493.986547056821,182.97237865430577,-1,0
494.14563236316064,408.71812347282355,1,1
602.0525693878842,238.4066067404479,1,1
664.2317879871179,984.6946023458818,1,1
465.6070212218283,627.0324004621251,-1,0
718.2426927287482,373.12294649532043,-1,0
570.864264904077,503.98206676801567,-1,0
530.8878944373375,255.55284294222704,1,1
507.7507976505889,657.4808871207513,-1,0
958.8919012626405,803.3480703380517,-1,0
1180.8960783655245,257.343394429447,-1,0
775.8520062005657,557.9778328916852,-1,0
1192.4764895885435,244.39363894689984,-1,0
234.4566377716294,310.4554027643143,-1,0
-171.63480015120422,333.74166402175877,1,1
259.94117432645777,547.5586911201844,-1,0
608.0727287429157,1093.2973131511758,1,1
800.5504071187233,317.5670457629311,1,1
215.8963355227571,655.558500666356,1,1
82.50560232261677,1079.1581140780772,-1,0
872.9717145263223,351.63363166543604,-1,0
-41.740705020715836,928.1320363542411,-1,0
463.77932061585034,891.4318870745692,1,1
-4.202296615999899,310.46097548503747,-1,0
501.65820344754417,514.856568212369,-1,0
357.6768013928039,696.9624426699881,-1,0
162.3887766624049,454.97565352508855,-1,0
538.0408188778381,662.679843246705,-1,0
725.0323831623941,144.3569437296071,-1,0
14.870502973500209,904.0368870804589,-1,0
605.086917624399,263.30777465104075,-1,0
990.5173239720923,536.5795311872454,-1,0
872.9265139864516,521.3512185411681,-1,0
1151.6657126092655,1055.087513203929,-1,0
421.27062350817823,807.2377113471507,1,1
704.0857947783066,932.7992999386,1,1
194.86440968351718,716.9485205678966,1,1
834.7032109739632,-56.1622587971824,-1,0
125.8208039192956,-144.86183596272804,-1,0
414.8060785939294,726.9067845730397,1,1
975.0870143439693,523.4308268856537,-1,0
1015.0134556763034,63.57359899212446,-1,0
-38.656823469592496,482.43427527054627,1,1
621.4521589223311,489.66101284972166,-1,0
-153.78259666477015,471.81776899753856,-1,0
87.4905240182498,711.7690540793249,1,1
615.9285443888973,202.78391484531744,-1,0
337.5010127006583,165.04727423822976,-1,0
480.1791290933528,802.0425222402453,-1,0
188.28605446270092,659.3935035707793,-1,0
332.317817928674,249.2715955182358,-1,0
466.15402837559213,172.62763309523825,1,1
324.92071701328643,121.19775006567068,1,1
1121.3006396192848,511.1513142618384,-1,0
278.7273657825076,567.6663891439655,1,1
464.47875178524055,430.12327718197355,1,1
694.2165635166658,739.54497088879,-1,0
332.2408072217541,317.91028412918683,-1,0
413.02101627059574,-227.93138747121168,-1,0
20.854515312272042,932.243596019884,-1,0
1020.1844652103368,421.24788955340557,1,1
682.3233204085776,598.425941043698,-1,0
1473.627599889916,854.0406731314554,1,1
459.5489058117827,197.83158113018231,-1,0
-8.002931081021984,564.3408510359553,-1,0
260.8208934935743,50.24388670476691,-1,0
295.53570124892224,157.9844909770489,-1,0
1033.5210302129924,778.7989707717527,-1,0
497.47882944719254,967.9994288709058,-1,0
524.4660070879098,227.63802110836667,-1,0
981.6541243214414,670.4183191984362,-1,0
171.99396580778836,439.8096250430225,1,1
223.1051958485727,62.72033022846347,-1,0
792.8830567908847,1103.8105586112451,-1,0
57.73410050758389,678.0265040548637,1,1
294.24875389114857,345.9574281219953,-1,0
312.6685927359945,226.78212904498338,-1,0
515.3438860084929,237.2305010159061,-1,0
585.5259578203636,484.11331487999,-1,0
424.4379929453486,213.00317063452496,-1,0
317.60889063181696,738.8756798115996,-1,0
658.4039232018952,190.86988877931105,-1,0
531.4116330391863,737.6094714376791,1,1
-27.91230262572276,671.8255797787862,-1,0
290.4599689988752,680.4391422613969,-1,0
258.6362620346639,-70.75383461691854,1,1
-14.674109229390751,515.2057952617677,-1,0
582.1314665036886,214.0299738713465,-1,0
701.9406666343687,-25.41877748347065,1,1
479.1037328949166,117.04305253891755,-1,0
293.8713238206125,514.988775942556,-1,0
227.9134036452262,378.392859338813,-1,0
818.2177270166907,317.57077286741753,1,1
764.2690496762527,142.75532509771278,1,1
667.5387916085372,955.8640244706223,-1,0
-281.6026186630569,247.99959361315376,-1,0
682.4862296088868,435.791411171598,1,1
617.3666304025772,309.00311369759334,-1,0
527.3820950524279,450.77053563228526,1,1
869.2851125532181,580.4549349052626,-1,0
606.7593356293787,369.7530671292993,-1,0
345.80537306564963,363.2130905935095,-1,0
624.7367197848445,366.87301810244986,1,1
591.6348556442016,1156.2993581452083,-1,0
775.4738188882845,396.9023067536449,1,1
879.8571951142281,370.955236422907,-1,0
-144.51156862339894,181.2151179464338,-1,0
-91.5963498683551,388.84167621682155,1,1
505.82440290476296,1030.1360261280847,-1,0
603.3835130551929,430.71432924166504,-1,0
762.2810740595519,-199.22237912851415,-1,0
574.5078653517163,743.7689781630122,-1,0
32.42997463381738,861.6867859560532,1,1
607.0419627466838,368.67443073335664,-1,0
700.1031958947564,1218.0561297338736,-1,0
557.5111595509964,578.494241485145,-1,0
354.73732894290345,231.2556135821606,-1,0
762.5752403095538,229.2825242096913,-1,0
522.6312313181196,348.95145268816043,-1,0
651.4667202629158,605.5132221593666,-1,0
828.0989387259101,338.71865355821075,-1,0
414.6580521082385,190.4877366998216,-1,0
359.50213490979326,619.3128920326251,-1,0
739.3808191419362,208.38571963711632,-1,0
774.9935374300298,928.6903316177393,-1,0
630.7395958398185,1093.4949470749934,-1,0
255.30637019951888,106.40562370948032,1,1
-62.48073067991402,973.0907504844229,1,1
706.9285896669855,482.4225836932057,-1,0
588.5338532559197,144.08911289641514,1,1
1273.414684745488,540.8633256980814,-1,0
534.5936715117762,729.507558125066,1,1
652.1084747855764,570.7983448446493,1,1
250.0300288611525,649.0913853247447,1,1
1095.1484021092642,925.4591755498595,1,1
1003.8098477900786,338.33940868937964,-1,0
187.05947845013452,460.2226832627498,-1,0
517.6217645245381,846.0137394806397,-1,0
-35.2043089172322,983.6862805333708,-1,0
450.0335152193511,365.0083528956498,-1,0
179.94449443560978,-23.31162842217168,-1,0
760.3093948170522,523.1851769728847,-1,0
92.07854642581623,90.46013309449296,-1,0
393.8155546808471,1027.79094837628,-1,0
417.9100068809952,24.664461931508697,-1,0
422.28921982996917,413.75723479855685,-1,0
-352.830438298063,482.8304556548898,-1,0
426.9720894159618,720.159783431651,-1,0
1084.691255367783,856.2511425665804,-1,0
414.9699300786531,150.0857838388701,-1,0
1313.767821739233,518.7265130954172,-1,0
504.4048288638274,492.37097759824206,-1,0
562.6399013795985,454.3492294360212,1,1
318.59214511552693,327.06801868521757,-1,0
489.642506529849,328.15399862615806,1,1
274.57837062947596,533.6561931396719,-1,0
419.3691241498134,975.6043428844913,-1,0
-338.31026028620715,845.1647733755117,1,1
894.0467366901867,-155.66356127556162,1,1
391.6326676822863,382.54008473879117,1,1
54.905721136809746,254.03276651252074,-1,0
148.8050813960799,1054.1165677811864,-1,0
795.8874879752462,902.1010270573311,-1,0
728.2127446091527,142.96248067062157,-1,0
334.1321279637902,654.7538242425749,-1,0
113.52925320704702,725.4699007469267,-1,0
424.00243622334585,381.4712533719636,-1,0
724.8252824723922,640.4883945144729,-1,0
385.8524757753689,866.6122737946162,-1,0
158.13775899035545,694.7759409942097,1,1
687.5550858291183,402.11282101727016,-1,0
603.1323170479448,104.36314870633908,-1,0
792.2030000229961,441.528810460893,-1,0
334.70046697569035,831.7258440174521,-1,0
277.2669682316082,54.60543072977197,1,1
7.750633939899103,691.6371730980043,1,1
95.09268631771408,1054.9146439882602,-1,0
-158.3638856598277,1036.466607489397,1,1
566.7295822440154,469.4166286886893,-1,0
327.68145451847045,626.2179217781966,-1,0
488.0988621274817,848.8946893922575,1,1
536.121954153753,547.5295902554852,-1,0
385.01572243517194,481.9922126262514,1,1
597.3354657527669,-40.80273032241121,-1,0
73.66633579104268,735.0407440133322,-1,0
554.0323957886873,441.8193605608678,1,1
505.8293214721732,609.914986194844,1,1
329.31300210980794,253.87843540567815,-1,0
561.9317075045376,190.61136220310982,-1,0
629.1008569098053,-38.40420962502844,1,1
825.4475880751233,649.4484460886584,-1,0
580.9637109159614,810.7541745379783,-1,0
1026.6692629305348,820.7719795750381,-1,0
-82.13554569196992,95.36223436256734,-1,0
302.4150170094774,508.2507145212051,-1,0
663.6981556014154,270.49965526593815,-1,0
559.0608366967795,261.1269428146606,-1,0
306.62109128033137,55.174703800891734,-1,0
208.0480130698752,72.55979680659613,1,1
191.4017812953935,833.1907915232646,-1,0
199.77371032580635,1332.432299666319,-1,0
656.0008177316795,558.450314475242,-1,0
228.56343673012276,721.4574286850266,-1,0
317.96733617404,538.5828911174311,-1,0
1309.569814350989,469.6231925062725,-1,0
863.4321365140597,277.6360899667343,-1,0
488.9356678138444,1059.976329068214,-1,0
301.7356079496246,1073.146558515808,1,1
723.8108134431783,322.13238800026227,-1,0
699.9848865332867,807.5487209351961,-1,0
696.6335752389584,3.4513446846258375,1,1
270.05903530110913,421.7277348320118,-1,0
476.46208299871967,696.2737508374358,-1,0
556.1939905440789,77.72703658191756,-1,0
620.2291170680184,693.0841661928295,1,1
677.0212827867978,841.7728743961952,-1,0
763.7093399649482,645.2054906538432,-1,0
477.81165381445,-25.241965447003622,-1,0
635.85720967643,565.6766133407946,-1,0
585.8807689837435,96.25665010316408,-1,0
158.13990528880367,833.0361740837227,1,1
487.49156206145767,715.5094430690622,-1,0
508.9550568209603,509.4097175180249,-1,0
796.711391853566,336.8123284310535,-1,0
530.39605855985,353.8157181680156,-1,0
362.60022865633493,402.2311900808302,-1,0
570.2448663606235,348.60639288771824,-1,0
897.1049542520743,217.10033135677605,-1,0
440.90599743495994,360.94482979373765,-1,0
957.5745838449515,562.1560778761941,-1,0
826.2978935928394,30.224561951377893,-1,0
584.4487089900383,781.3259590797816,-1,0
526.0204821075208,836.9344787416986,-1,0
336.41902903844675,945.6747925514351,-1,0
1226.9754179324161,385.26037260740117,-1,0
359.1197329025654,959.6005263624807,1,1
999.5045709068463,334.6571416738187,-1,0
367.12526152005137,410.89188264211333,-1,0
74.84741837543442,209.4967472162822,-1,0
182.46280856355884,257.2010912339538,-1,0
489.0316755471326,574.0652016382552,-1,0
990.3113070506018,184.2927320032889,-1,0
811.2700731105858,432.3307858380422,-1,0
484.3582015977056,713.3966604724621,-1,0
144.96412326344614,620.9285797388484,-1,0
552.6368099517842,655.7267630894651,-1,0
591.4431542650879,1276.4340781448518,1,1
298.3289094805929,332.08401915803177,-1,0
302.94566341414037,324.3427115344838,-1,0
298.44049264397,876.0000413892312,-1,0
949.2028849592602,319.5141745652131,1,1
236.7860565855849,649.0746882616572,-1,0
325.3717403640111,700.1506147698016,1,1
564.1698935571948,20.679624661256184,-1,0
989.3641127160424,1067.9063846025142,-1,0
306.21920136773895,377.39800182020053,-1,0
590.3985738904672,605.7645235267596,1,1
708.2499841705126,1135.682490530991,-1,0
444.0443735466836,247.55624574220738,-1,0
63.82096190089652,268.85962635456883,-1,0
489.52433137321873,1067.4890241681796,-1,0
336.31693524071807,570.7679640082531,1,1
494.80662426338694,875.8029500119248,-1,0
1299.0861959095243,332.12455389130696,-1,0
345.22565849193603,830.1926615177348,-1,0
715.6330224304223,1083.9801321044351,1,1
684.6543055598956,386.38186478288924,-1,0
686.7814575968827,850.6028564626022,-1,0
759.4592472166648,660.4141336154167,-1,0
837.3121541554822,869.7637323799746,1,1
937.077050015884,705.1400785455068,-1,0
447.15262280037865,546.3949413049046,1,1
881.5316351582217,241.66225778423978,-1,0
616.5847368549132,375.61534609000245,-1,0
509.0899111412269,904.2819764723715,-1,0
560.4308313678338,514.6845258849522,-1,0
69.9757304336419,735.9860980668868,-1,0
704.1200206014503,1184.0812084762588,-1,0
402.67197633220707,569.3014185390255,-1,0
578.8620451809019,998.8345266555376,-1,0
469.8649066818889,588.234353764964,-1,0
692.2337552370942,559.0109861340961,-1,0
358.8252953958643,561.3766448604557,1,1
839.5121697829043,175.3873600851349,-1,0
542.0487030034535,278.60235874989723,1,1
877.9069257508561,18.326007874124855,-1,0
323.25339285930136,619.284868566676,-1,0
995.0621664104544,479.2079418258652,-1,0
324.4304939802041,1094.8740975959795,-1,0
42.09779911004307,-195.32349556648478,-1,0
639.1447865554928,341.2365142136574,-1,0
177.05782765567255,724.0019768730986,-1,0
577.0965550691767,321.6226747442875,-1,0
95.13220018677197,775.8952318670492,1,1
705.6116659673838,468.6378381542555,-1,0
1083.9578919041978,161.60948489603072,-1,0
17.586583196014942,281.19945677243186,-1,0
485.5844358862939,576.9506904430824,-1,0
423.7144603413841,611.3296915538881,-1,0
104.22848380625612,956.5584554002714,1,1
474.02151638126725,853.3199648030388,-1,0
608.3792706423684,644.4380501140004,-1,0
680.1762341773195,641.5778777608909,-1,0
703.24678252109,920.3149352994067,-1,0
562.1454504697118,724.206674359759,-1,0
471.62308186358035,955.405049843976,1,1
286.10597336881085,1069.5073698287842,-1,0
487.30094097992486,47.54918578469642,-1,0
540.510172944133,284.6325558146537,1,1
765.8348315131705,293.6221769761858,-1,0
358.90440968076723,-97.52524414472839,-1,0
356.96818310856577,-266.4979445542724,-1,0
-0.8740514586523318,740.4642279589732,-1,0
748.4918287058294,634.5414942982302,1,1
194.2152944666708,484.912344433588,-1,0
498.8607771114012,133.69292210385333,1,1
975.416286401334,777.4463171361604,-1,0
430.1249929400891,508.50204880272884,1,1
565.8964298335703,-145.65325624049603,-1,0
421.8356485156222,284.337644796983,-1,0
183.25994187316775,411.1082823539956,-1,0
1068.478394384193,702.6523063863049,-1,0
319.37734406523185,681.0665738079656,-1,0
192.5150435751084,-157.53663170872312,1,0
-231.14322133338567,-314.6936777705574,1,0
-29.20240135510042,-210.65146145782504,-1,1
33.084952122789446,-186.48281983180306,1,0
81.89771048233968,-303.5235211560568,1,0
166.5965823393824,-230.24003953076004,1,0
406.25510965244143,-318.9187818089568,1,0
298.95995536104067,-230.20892165373522,1,0
-455.9964600261455,-298.38858340543214,1,0
